,title,id,metal,mass,diameter,era,year,inscriptions,jpg,txt
1,Aelia Ariadne,RIC_0933a,Gold,1.46,14.0,AD,491,,RIC_0933a.jpg,RIC_0933a.txt
2,Aelia Ariadne,RIC_933v,Gold,1.47,15.0,AD,491,,RIC_933v.jpg,RIC_933v.txt
3,Aelia Ariadne,RIC_0933var2,Gold,4.47,,AD,474,,RIC_0933var2.jpg,RIC_0933var2.txt
4,Aelia Ariadne,RIC_0938,Gold,1.47,,AD,474,,RIC_0938.jpg,RIC_0938.txt
1,Aelia Verina,RIC_0606,Gold,4.45,,AD,457.0,,RIC_0606.jpg,RIC_0606.txt
2,Aelia Verina,RIC_0607_none,Gold,4.26,,,,,RIC_0607_none.jpg,RIC_0607_none.txt
5,Aelia Verina,RIC_0614,Gold,1.49,,AD,466.0,['AVG'],RIC_0614.jpg,RIC_0614.txt
6,Aelia Verina,RIC_0615,Gold,1.51,,AD,466.0,['AVG'],RIC_0615.jpg,RIC_0615.txt
3,Aelius,RIC_0428var2,Silver,3.15,,AD,136.0,"['COS', 'TR']",RIC_0428var2.jpg,RIC_0428var2.txt
6,Aelius,RIC_0430c,Silver,3.54,,AD,138.0,"['COS', 'TR']",RIC_0430c.jpg,RIC_0430c.txt
25,Aelius,RIC_1054,Brass,28.29,31.1,AD,137.0,"['COS', 'TR']",RIC_1054.jpg,RIC_1054.txt
39,Aelius,RIC_1071v,Copper,12.9,27.0,,,"['COS', 'TR']",RIC_1071v.jpg,RIC_1071v.txt
43,Aelius,Milne_1544var,Copper,13.69,,,,,Milne_1544var.jpg,Milne_1544var.txt
47,Aelius,_amisos_Manyas_Hoard_210,Silver,3.16,,AD,137.0,,_amisos_Manyas_Hoard_210.jpg,_amisos_Manyas_Hoard_210.txt
48,Aelius,_bruzos_RPC_2595A,Copper,4.91,,AD,136.0,,_bruzos_RPC_2595A.jpg,_bruzos_RPC_2595A.txt
49,Aelius,_cestrus_Levante_7-9,Copper,5.72,,AD,136.0,,_cestrus_Levante_7-9.jpg,_cestrus_Levante_7-9.txt
50,Aelius,_kibyra_BMC_48,Copper,4.28,,AD,136.0,,_kibyra_BMC_48.jpg,_kibyra_BMC_48.txt
51,Aelius,_nicopolis_RPC_555,Copper,4.2,,AD,136.0,,_nicopolis_RPC_555.jpg,_nicopolis_RPC_555.txt
52,Aelius,_philippopolis_Moushmov_5079,Copper,11.11,,AD,136.0,,_philippopolis_Moushmov_5079.jpg,_philippopolis_Moushmov_5079.txt
53,Aelius,_philippopolis_RPC_III_755A,Copper,4.97,,AD,136.0,,_philippopolis_RPC_III_755A.jpg,_philippopolis_RPC_III_755A.txt
54,Aelius,_philippopolis_Varbanov_643,Copper,23.86,,AD,136.0,,_philippopolis_Varbanov_643.jpg,_philippopolis_Varbanov_643.txt
55,Aelius,_philippopolis_Varbanov_645,Copper,5.6,,AD,136.0,,_philippopolis_Varbanov_645.jpg,_philippopolis_Varbanov_645.txt
3,Aemilian,RIC_0002b_var,Silver,2.71,22.0,,,['IMP'],RIC_0002b_var.jpg,RIC_0002b_var.txt
18,Aemilian,RIC_0017,Silver,3.94,,AD,253.0,"['IMP', 'CAES', 'TR']",RIC_0017.jpg,RIC_0017.txt
25,Aemilian,RIC_0039,Brass,18.98,,AD,253.0,['IMP'],RIC_0039.jpg,RIC_0039.txt
28,Aemilian,RIC_0045,Brass,19.34,27.0,AD,253.0,"['IMP', 'CAES']",RIC_0045.jpg,RIC_0045.txt
29,Aemilian,RIC_0047a,Brass,10.71,25.0,AD,253.0,"['IMP', 'CAES', 'PP', 'TR', 'PM']",RIC_0047a.jpg,RIC_0047a.txt
30,Aemilian,RIC_0050,Brass,22.09,,AD,253.0,"['IMP', 'CAES']",RIC_0050.jpg,RIC_0050.txt
33,Aemilian,RIC_0052,Brass,18.71,26.0,AD,253.0,"['AVG', 'IMP', 'CAES']",RIC_0052.jpg,RIC_0052.txt
34,Aemilian,RIC_0052var,Brass,21.55,,AD,253.0,"['IMP', 'CAES', 'PF']",RIC_0052var.jpg,RIC_0052var.txt
39,Aemilian,RIC_0056,Brass,13.34,25.0,AD,253.0,"['IMP', 'CAES']",RIC_0056.jpg,RIC_0056.txt
43,Aemilian,_antiochPisidia_Krzy_3,Copper,8.48,,AD,253.0,"['IMP', 'C']",_antiochPisidia_Krzy_3.jpg,_antiochPisidia_Krzy_3.txt
46,Aemilian,_julia_RPC_894,Copper,11.5,,AD,253.0,,_julia_RPC_894.jpg,_julia_RPC_894.txt
47,Aemilian,_julia_SNGvA_3680,Copper,5.47,,AD,253.0,,_julia_SNGvA_3680.jpg,_julia_SNGvA_3680.txt
49,Aemilian,_side_RPC_IX_1163,Copper,16.93,,AD,253.0,,_side_RPC_IX_1163.jpg,_side_RPC_IX_1163.txt
50,Aemilian,_side_RPC_1166,Copper,15.98,,AD,253.0,,_side_RPC_1166.jpg,_side_RPC_1166.txt
51,Aemilian,_viminacium_Martin_6-01-27,Copper,11.3,,,,"['IMP', 'C', 'PM']",_viminacium_Martin_6-01-27.jpg,_viminacium_Martin_6-01-27.txt
1,Agrippa,Cohen_03_note,Copper,58.73,52.0,,,['COS'],Cohen_03_note.jpg,Cohen_03_note.txt
11,Agrippa,RPC_1367,Copper,2.71,,AD,1.0,,RPC_1367.jpg,RPC_1367.txt
8,Agrippina I,RPC_2015,Copper,3.36,,AD,3.0,"['AVG', 'C']",RPC_2015.jpg,RPC_2015.txt
2,Agrippina II,Cohen_01_countermarked,Brass,14.78,28.0,,,['AVG'],Cohen_01_countermarked.jpg,Cohen_01_countermarked.txt
7,Agrippina II,RPC_1835,Copper,4.85,,AD,5.0,,RPC_1835.jpg,RPC_1835.txt
9,Agrippina II,RPC_2387,Copper,5.96,,AD,5.0,,RPC_2387.jpg,RPC_2387.txt
12,Agrippina II,RPC_2445,Copper,3.66,,AD,5.0,,RPC_2445.jpg,RPC_2445.txt
13,Agrippina II,RPC_2517,Copper,3.7,,AD,5.0,,RPC_2517.jpg,RPC_2517.txt
16,Agrippina II,RPC_3042,Copper,2.93,,AD,59.0,,RPC_3042.jpg,RPC_3042.txt
23,Agrippina II,RPC_3151_2,Copper,2.78,,AD,5.0,,RPC_3151_2.jpg,RPC_3151_2.txt
24,Agrippina II,RPC_3152,Copper,2.44,,AD,5.0,,RPC_3152.jpg,RPC_3152.txt
25,Agrippina II,RPC_3172,Copper,3.25,,AD,5.0,,RPC_3172.jpg,RPC_3172.txt
26,Agrippina II,RPC_3192,Copper,2.16,,AD,5.0,,RPC_3192.jpg,RPC_3192.txt
27,Agrippina II,RPC_3221,Copper,3.9,,AD,4.0,,RPC_3221.jpg,RPC_3221.txt
28,Agrippina II,RPC_5194,Copper,10.73,27.0,AD,5.0,,RPC_5194.jpg,RPC_5194.txt
2,Alexander,_carthage_RIC_65,Copper,5.56,21.0,AD,308.0,"['IMP', 'PF']",_carthage_RIC_65.jpg,_carthage_RIC_65.txt
11,Alexander,_carthage_RIC_75,Copper,3.92,,AD,311.0,['IMP'],_carthage_RIC_75.jpg,_carthage_RIC_75.txt
12,Alexander,_carthage_RIC_75var,Copper,4.89,21.0,AD,308.0,"['IMP', 'PF']",_carthage_RIC_75var.jpg,_carthage_RIC_75var.txt
47,Allectus,RIC_0097,Copper,4.49,22.67,AD,296.0,"['IMP', 'PF', 'C']",RIC_0097.jpg,RIC_0097.txt
50,Allectus,RIC_0100v2,Copper,3.7,23.0,AD,293.0,"['IMP', 'PF', 'C']",RIC_0100v2.jpg,RIC_0100v2.txt
61,Allectus,RIC_0124,Copper,2.17,,,,"['IMP', 'PF', 'C']",RIC_0124.jpg,RIC_0124.txt
1,Annia Faustina,RIC_232,Silver,3.23,,AD,221.0,,RIC_232.jpg,RIC_232.txt
7,Annia Faustina,_dionysopolis_Waddington_5942,Copper,10.33,,AD,221.0,,_dionysopolis_Waddington_5942.jpg,_dionysopolis_Waddington_5942.txt
9,Annia Faustina,_ephesos_SNGMunich_188,Copper,3.57,,,,,_ephesos_SNGMunich_188.jpg,_ephesos_SNGMunich_188.txt
10,Annia Faustina,_ephesos_SNGvA_1908,Copper,15.69,,,,,_ephesos_SNGvA_1908.jpg,_ephesos_SNGvA_1908.txt
15,Annia Faustina,_laodikeia_BMC_246,Copper,8.99,,,,,_laodikeia_BMC_246.jpg,_laodikeia_BMC_246.txt
1,Anonymous,Bendall_01,Silver,1.11,,,,,Bendall_01.jpg,Bendall_01.txt
3,Anonymous,Bendall_2,Silver,1.11,,AD,330.0,,Bendall_2.jpg,Bendall_2.txt
6,Anonymous,Bendall_4,Silver,1.04,12.0,AD,330.0,,Bendall_4.jpg,Bendall_4.txt
8,Anonymous,Bendall_6,Silver,1.01,15.0,AD,330.0,,Bendall_6.jpg,Bendall_6.txt
10,Anonymous,Bendall_09,Silver,1.08,,AD,536.0,,Bendall_09.jpg,Bendall_09.txt
11,Anonymous,Bendall_12,Silver,0.67,15.0,AD,580.0,,Bendall_12.jpg,Bendall_12.txt
12,Anonymous,CNG_278_424,Silver,0.97,15.0,AD,530.0,,CNG_278_424.jpg,CNG_278_424.txt
15,Anonymous,Sincona_37_264,Silver,1.03,,AD,530.0,,Sincona_37_264.jpg,Sincona_37_264.txt
17,Anonymous,Alfoeldi_127,Copper,1.05,,AD,305.0,,Alfoeldi_127.jpg,Alfoeldi_127.txt
18,Anonymous,Alfoeldi_0195a,Copper,2.52,,AD,360.0,,Alfoeldi_0195a.jpg,Alfoeldi_0195a.txt
19,Anonymous,Alfoeldi_0199,Copper,0.98,,AD,360.0,,Alfoeldi_0199.jpg,Alfoeldi_0199.txt
20,Anonymous,Alfoeldi_206,Copper,1.72,,AD,360.0,,Alfoeldi_206.jpg,Alfoeldi_206.txt
21,Anonymous,Alfoeldi_266,Copper,1.23,,AD,0.0,,Alfoeldi_266.jpg,Alfoeldi_266.txt
22,Anonymous,Alfoeldi_297,Copper,2.35,,AD,0.0,,Alfoeldi_297.jpg,Alfoeldi_297.txt
23,Anonymous,Alfoeldi_0306,Copper,2.33,,AD,0.0,,Alfoeldi_0306.jpg,Alfoeldi_0306.txt
24,Anonymous,Alfoeldi_0369a,Copper,2.51,,AD,360.0,,Alfoeldi_0369a.jpg,Alfoeldi_0369a.txt
26,Anonymous,Bendall_Anon_D,Copper,1.14,16.5,AD,330.0,['C'],Bendall_Anon_D.jpg,Bendall_Anon_D.txt
27,Anonymous,Bendall_(1986)_3,Copper,1.29,16.0,AD,307.0,,Bendall_(1986)_3.jpg,Bendall_(1986)_3.txt
28,Anonymous,CNG_132-197,Copper,3.61,19.0,AD,9.0,,CNG_132-197.jpg,CNG_132-197.txt
31,Anonymous,CohenVIII_04,Copper,1.83,,AD,0.0,,CohenVIII_04.jpg,CohenVIII_04.txt
33,Anonymous,CohenVIII_55,Copper,2.73,17.5,AD,9.0,,CohenVIII_55.jpg,CohenVIII_55.txt
37,Anonymous,Dancoisne_68,Copper,1.79,17.0,AD,0.0,['TR'],Dancoisne_68.jpg,Dancoisne_68.txt
39,Anonymous,Gobl_104,Copper,3.24,18.0,,,,Gobl_104.jpg,Gobl_104.txt
40,Anonymous,Mlasowsky_Hannover_38,Copper,2.32,14.0,AD,8.0,,Mlasowsky_Hannover_38.jpg,Mlasowsky_Hannover_38.txt
44,Anonymous,Mabbott_5299,Copper,4.38,,AD,0.0,['SC'],Mabbott_5299.jpg,Mabbott_5299.txt
45,Anonymous,RICII_01,Copper,3.3,17.0,AD,8.0,,RICII_01.jpg,RICII_01.txt
46,Anonymous,RICII_03,Copper,1.61,17.5,AD,8.0,,RICII_03.jpg,RICII_03.txt
47,Anonymous,RICII_04,Copper,1.61,17.5,AD,8.0,,RICII_04.jpg,RICII_04.txt
48,Anonymous,RICII_04_2,Copper,3.02,17.0,AD,8.0,,RICII_04_2.jpg,RICII_04_2.txt
53,Anonymous,RICII_12,Copper,2.2,15.0,,,,RICII_12.jpg,RICII_12.txt
54,Anonymous,RICII_12_2,Copper,2.9,15.0,,,,RICII_12_2.jpg,RICII_12_2.txt
55,Anonymous,RICII_15,Copper,2.45,15.0,AD,120.0,['SC'],RICII_15.jpg,RICII_15.txt
56,Anonymous,RICII_16,Copper,3.11,18.0,AD,9.0,,RICII_16.jpg,RICII_16.txt
62,Anonymous,RICII_26,Copper,2.94,17.0,AD,8.0,,RICII_26.jpg,RICII_26.txt
67,Anonymous,RICII_30,Copper,2.86,16.0,AD,8.0,,RICII_30.jpg,RICII_30.txt
73,Anonymous,RICII_123,Copper,3.0,15.0,AD,161.0,"['IMP', 'SC']",RICII_123.jpg,RICII_123.txt
75,Anonymous,RIC_II_hadrian_1016,Copper,3.1,17.0,AD,117.0,,RIC_II_hadrian_1016.jpg,RIC_II_hadrian_1016.txt
77,Anonymous,RIC_1255,Copper,2.34,,AD,138.0,,RIC_1255.jpg,RIC_1255.txt
82,Anonymous,Sabatier_142,Copper,24.41,,AD,0.0,,Sabatier_142.jpg,Sabatier_142.txt
83,Anonymous,Vagi_2959,Copper,1.56,,,,,Vagi_2959.jpg,Vagi_2959.txt
